﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2I0Q1wxFRdnDYtG6Q8W47S","Winterbreak - Tiësto's Deep House Remix","MUNA, Tiësto","Winterbreak (Tiësto's Deep House Remix)","1","1","228536","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:3WtCu35qpzGCLIGa8pczdu","Colors - Audien Remix","Halsey","Complementary Colors","1","2","270222","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:5deDWZeDHWfYk9xaq9ynh4","Back 2 U","Steve Aoki, Boehm, WALK THE MOON","Back 2 U","1","1","275977","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:0azC730Exh71aQlOt9Zj3y","This Is What You Came For","Calvin Harris, Rihanna","This Is What You Came For","1","1","222160","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:1JI70l1lE5IF2tgJm5TnMD","Don't Let Me Down - Hardwell & Sephyx Remix","The Chainsmokers, Daya, Hardwell, Sephyx","Don't Let Me Down (Hardwell & Sephyx Remix)","1","1","162440","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:6dj2rjZ9N6XldGzlvemKQl","Thinking About You","Axwell /\ Ingrosso","Thinking About You","1","1","204590","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:0QHnxQsdunrlmduVLPQCNy","Can't Go Home - Radio Edit","Steve Aoki, Felix Jaehn, Adam Lambert","Can't Go Home (Radio Edit)","1","1","183576","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:48kF7W23OIcVBsNY5UesuQ","Drop That Low (When I Dip)","Tujamo","Drop That Low (When I Dip)","1","1","159999","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:7Ktv8bQUjZt0rr16qgB4h2","Spaceships","AREA21","Spaceships","1","1","169608","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:1kNuLxkbyf3wBVnYacAnIo","Get It Up (DLDK Amsterdam 2016 Anthem)","Sem Vox","Get It Up (DLDK Amsterdam 2016 Anthem)","1","1","187279","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:4hMdVt2j6y43bS7rC2dEBr","NUNGWI","BLR","NUNGWI","1","1","181463","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:7KCXA4Y1gIGDSm388m9bW1","Keeping Your Head Up - Don Diablo Remix [Radio Edit]","Birdy, Don Diablo","Keeping Your Head Up (Don Diablo Remix [Radio Edit])","1","1","207145","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:6S5BiqsDSpwfnjbcQpmjhI","Everytime","Toby Green","Everytime","1","1","157440","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:1JYqoqlqzUAAYJeOVlhKIC","Care (Ft. Madi)","R3hab, Felix Snow, Madi","Care","1","1","189107","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:64BbRFQBFPpSKhmCZ5w7K1","How Many","W&W","How Many","1","1","168250","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:2v9SirLJCR6EPUD7hQySfX","Reckless","Gareth Emery, Wayward Daughter","100 Reasons To Live","1","4","202353","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:0ELaTEJQxHhKzH0zRwy7xD","Chemicals - Dexter Remix","Don Diablo, Dexter","Chemicals","1","1","238242","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:6zocM6REm0LnGYxul6p4oe","Ingrid Is A Hybrid","Dusky","Ingrid Is A Hybrid","1","1","280523","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:1qJhb6zftFI5PT39nL84vw","Is It Love - Arty Remix","3LAU, Yeah Boy, Arty","Is It Love (Remixed)","1","1","202509","spotify:user:spotify","2016-06-13T23:53:10Z"
"spotify:track:0qFKJ921JaLqUk51X2G0UD","Need You","Ftampa, Sex Room","Need You","1","1","212509","spotify:user:spotify","2016-06-13T23:53:10Z"
